id,text,points
140,"t’as la canne ou quoi ?",1
141,"il est mou ou il est dur ?",1
142,"shhhhh",1
143,"shhhhh toi là !",1
144,"bave pas la canne",1
145,"arrête de baver la canne",1
146,"il a bavé la canne sur toi",1
147,"tu pinailles là",1
148,"arrête de pinailler",1
149,"pinailles pas",1
150,"pas de pinaillage",1
151,"fais pas ton daguet !",1
152,"fais pas le kékesse !",1
153,"dis pas de malélevés",1
154,"c’est pas les manières pour toi",1
155,"ma couille",1
156,"vieille couille",1
157,"mon con",1
158,"mon con d’calo",1
159,"eh mais tu barres bien en couille",1
160,"ça barre en couille",1
161,"eh mais tu barres bien en papaye",1
162,"ça barre en papaye",1
163,"aïta",1
164,"moi sé fort",1
165,"moi c’est beaucoup la force",1
166,"je vais t’astiquer",1
167,"je vais te caillasser",1
168,"je vais te bombarder",1
169,"tu vas te faire astiquer",1
170,"tu vas te faire caillasser",1
171,"tu vas te faire bombarder",1
172,"tu vas ramasser",1
173,"il va ramasser",1
174,"tu vas prendre un pônce",1
175,"je vais te péter un réglage",1
176,"je vais lui péter un réglage",1
177,"vas lui péter un réglage",1
178,"je vais te faire brouter le coaltar",1
179,"je vais te faire bouffer le coaltar",1
180,"t’es bon à peau",1
181,"rien dans le coco !",1
182,"t’es pète-couilles",1
183,"t’ès pète-claquettes",1
184,"t’as un pète au compteur",1
185,"moi sé colère fort",1
186,"je suis fin colère !",1
187,"fin colère !",1
188,"je vais te courser !",1
189,"je vais te damer !",1
190,"je vais damer ta gueule !",1
191,"je vais te rouler !",1
192,"il est vert !",1
193,"je suis vert !",1
194,"vert le mec !",1
195,"fin canard !",1
196,"fin plein !",1
197,"fin bourré !",1
198,"fin pété !",1
199,"AWA !",1
200,"awa …",1
201,"ayaoué",1
202,"ayaouéé …",1
203,"ahouuh !",1
204,"dézo pour lui",1
205,"dézo pour toi",1
206,"eh crochéé !",1
207,"j’ai dis à lui",1
208,"dis bien !",1
209,"lôngin",1
210,"l’enculé",1
211,"l’enkilé",1
212,"l’empété",1
213,"l’ômpété",1
214,"ah lôgin",1
215,"ah l’enculé",1
216,"ah l’empété",1
217,"ah l’enkilé",1
218,"ah l’ômpété",1
219,"ben lôgin",1
220,"ben l’enculé",1
221,"ben l’enkilé",1
222,"ben l’empété",1
223,"ben l’ômpété",1
224,"vas-y mouille !",1
225,"planter une chouchoute",1
226,"planter un sikiss",1
227,"planter un sikol",1
228,"planter un canon",1
229,"péter un coup de fête",1
230,"péter un coup de coutune",1
231,"péter un coup de chasse",1
232,"péter un coup de pêche",1
233,"péter un coup de dérive",1
234,"péter un coup de plonge",1
235,"péter une topette",1
236,"claquer un coup de fête",1
237,"claquer un coup de coutume",1
238,"chaquer un coup de chasse",1
239,"claquer un coup de pêche",1
240,"claquer un coup de dérive",1
241,"claquer un coup de plonge",1
242,"t’as essayé de feinter ?",1
243,"tu veux feinter ?",1
244,"eh feinté !",1
245,"je suis fiu",1
246,"je suis marré",1
247,"iia !",1
248,"Iiaoué !",1
249,"fin colère",1
250,"fin beau",1
251,"fin joli",1
252,"fin bon",1
253,"fin ban",1
254,"fin nul",1
255,"fin drôle",1
